nohup: ignoring input
Using Bao: True
python3 baoctl.py --train_mode retrain --dataset stats --repeat 0 --alpha 0.5 --train_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --contrastive
99 1759217603.9037116 0.07596588134765625
100 1759217603.9709742 0.06719255447387695
101 1759217604.0536623 0.08260512351989746
102 1759217604.1527383 0.09899020195007324
103 1759217604.221336 0.06851983070373535
104 1759217604.295573 0.07414031028747559
105 1759217604.3721228 0.07646870613098145
106 1759217604.4771364 0.10485124588012695
107 1759217604.5459456 0.06862354278564453
108 1759217605.440227 0.8941612243652344
109 1759217605.521657 0.08132481575012207
110 1759217605.6062894 0.08452582359313965
111 1759217605.6707573 0.06436419486999512
112 1759217605.7361977 0.06530308723449707
113 1759217605.8260112 0.08968591690063477
114 1759217605.9006789 0.0745697021484375
115 1759217605.9787962 0.07796144485473633
116 1759217606.0497851 0.0709083080291748
117 1759217606.1193125 0.06944632530212402
118 1759217606.1752648 0.055873870849609375
119 1759217606.239333 0.0639944076538086
120 1759217606.3184228 0.07900857925415039
121 1759217606.389854 0.07132887840270996
122 1759217606.607273 0.2173454761505127
123 1759217606.672438 0.0650937557220459
124 1759217606.7359936 0.06347775459289551
125 1759217606.80767 0.0715799331665039
126 1759217606.8834872 0.07569336891174316
127 1759217606.9533193 0.06972646713256836
128 1759217607.0328155 0.07939410209655762
129 1759217607.1132348 0.08031868934631348
130 1759217607.187939 0.07460141181945801
131 1759217607.275292 0.08728408813476562
132 1759217607.3498101 0.07443881034851074
133 1759217607.428097 0.07818388938903809
134 1759217607.506773 0.07857656478881836
135 1759217607.5771134 0.07027268409729004
136 1759217607.6503677 0.07314801216125488
137 1759217607.7243385 0.07385873794555664
138 1759217607.7891018 0.06469321250915527
139 1759217607.8533356 0.06410503387451172
140 1759217608.614344 0.7608945369720459
141 1759217608.6813958 0.06693696975708008
142 1759217608.7474108 0.0659487247467041
143 1759217608.815756 0.0682835578918457
144 1759217608.8870068 0.07118988037109375
145 1759217608.9490194 0.06194615364074707
146 1759217609.0997047 0.1505587100982666
147 1759217609.1645172 0.06474804878234863
148 1759217609.2590494 0.09441375732421875
149 1759217609.3291993 0.06997394561767578
150 1759217609.4031384 0.07379937171936035
151 1759217609.50413 0.10083770751953125
152 1759217609.5746722 0.07034873962402344
153 1759217609.6400616 0.06528902053833008
154 1759217609.697239 0.057018280029296875
155 1759217609.7652822 0.06798577308654785
156 1759217609.8353257 0.06996917724609375
157 1759217609.9113307 0.07589268684387207
158 1759217609.9782534 0.0668478012084961
159 1759217610.0466917 0.06836795806884766
160 1759217610.1484618 0.10169672966003418
161 1759217610.2193463 0.07078862190246582
162 1759217610.2964585 0.07703948020935059
163 1759217610.3855364 0.08897590637207031
164 1759217610.4578094 0.07218527793884277
165 1759217610.5374887 0.07955574989318848
